Level;Code;Code;Description;Self-explanatory texts in English;Self-explanatory texts in French;Self-explanatory texts in German
5;580133000080;5801.33;-- Los demás terciopelos y felpas por trama;Cut weft pile fabrics, of man-made fibres (excl. terry towelling and similar woven terry fabrics, tufted textile fabrics and narrow woven fabrics of heading 5806);Velours et peluches par la trame, coupés, de fibres synthétiques ou artificielles (à l'excl. des tissus bouclés du genre éponge, des surfaces textiles touffetées ainsi que des articles de rubanerie du n° 5806);Schusssamt und Schusssplüsch, aufgeschnitten, aus Chemiefasern (ausg. Schlingengewebe nach Art der Frottiergewebe, getuftete Spinnstofferzeugnisse sowie Bänder der Pos. 5806)
5;580136000080;5801.36;-- Tejidos de chenilla;Chenille fabrics, of man-made fibres (excl. terry towelling and similar woven terry fabrics, tufted textile fabrics and narrow woven fabrics of heading 5806);Tissus de chenille, de fibres synthétiques ou artificielles (à l'excl. des tissus bouclés du genre éponge, des surfaces textiles touffetées ainsi que des articles de rubanerie du no 5806);Chenillegewebe aus Chemiefasern (ausg. Schlingengewebe nach Art der Frottiergewebe, getuftete Spinnstofferzeugnisse sowie Bänder der Position 5806)
5;580137000080;5801.37;-- Terciopelo y felpa por urdimbre;Warp pile fabrics, of man-made fibres (excl. terry towelling and similar woven terry fabrics, tufted textile fabrics and narrow woven fabrics of heading 5806);Velours et peluches par la chaîne, de fibres synthétiques ou artificielles (à l'excl. des tissus bouclés du genre éponge, des surfaces textiles touffetées ainsi que des articles de rubanerie du no 5806);Kettsamt und Kettplüsch, aus Chemiefasern (ausg. Schlingengewebe nach Art der Frottiergewebe, getuftete Spinnstofferzeugnisse sowie Bänder der Position 5806)
4;580190000080;5801.90;- De las demás materias textiles;Woven pile fabrics and chenille fabrics (excl. those of man-made fibres, wool or fine animal hair, terry towelling and similar woven terry fabrics, tufted textile fabrics and narrow woven fabrics of heading 5806);Velours et peluches tissés et tissus de chenille (à l'excl. des tissus bouclés du genre éponge, des surfaces textiles touffetées, des articles de rubanerie du n° 5806 et des articles de laine, de poils fins ou de fibres synthétiques ou artificielles);Samt und Plüsch, gewebt, und Chenillegewebe (ausg. aus Chemiefasern, Wolle oder feinen Tierhaaren, Baumwolle sowie Schlingengewebe nach Art der Frottiergewebe, getuftete Spinnstofferzeugnisse und Bänder der Pos. 5806)
3;580200000080;58.02;" Tejidos con bucles del tipo toalla (excepto los productos de la partida 5806); superficies textiles con mechón insertado (excepto los productos de la partida 5703)";Terry towelling and similar woven terry fabrics, tufted textile fabrics (excl. narrow woven fabrics of heading 5806, carpets and other floor coverings);Tissus bouclés du genre éponge et surfaces textiles touffetées (à l'excl. des articles de rubanerie du n° 5806 ainsi que des tapis et autres revêtements de sol du n° 5703);Schlingengewebe nach Art der Frottiergewebe sowie getuftete Spinnstofferzeugnisse (ausg. Bänder der Pos. 5806 sowie Teppiche und andere Fußbodenbeläge)
4;580211000010;;- Tejidos con bucles del tipo toalla, de algodón;;;
5;580211000080;5802.11;-- Crudos;Terry towelling and similar woven terry fabrics, of cotton, unbleached (excl. narrow woven fabrics of heading 5806, carpets and other floor coverings);Tissus bouclés du genre éponge, en coton, écrus (à l'excl. des articles de rubanerie du n° 5806 ainsi que des tapis et autres revêtements de sol du n° 5703);Schlingengewebe nach Art der Frottiergewebe, aus Baumwolle, roh (ausg. Bänder der Pos. 5806 sowie Teppiche und andere Fußbodenbeläge)
5;580219000080;5802.19;-- Los demás;Terry towelling and similar woven terry fabrics, of cotton (excl. unbleached, narrow woven fabrics of heading 5806, carpets and other floor coverings);Tissus bouclés du genre éponge, en coton (à l'excl. des tissus écrus, des articles de rubanerie du n° 5806 ainsi que des tapis et autres revêtements de sol du n° 5703);Schlingengewebe nach Art der Frottiergewebe, aus Baumwolle (ausg. roh sowie Bänder der Pos. 5806 und Teppiche und andere Fußbodenbeläge)
4;580220000080;5802.20;- Tejidos con bucles del tipo toalla, de las demás materias textiles;Terry towelling and similar woven terry fabrics (excl. those of cotton, narrow woven fabrics of heading 5806, carpets and other floor coverings);Tissus bouclés du genre éponge (à l'excl. des tissus en coton, des articles de rubanerie du n° 5806 ainsi que des tapis et autres revêtements de sol du n° 5703);Schlingengewebe nach Art der Frottiergewebe (ausg. aus Baumwolle sowie Bänder der Pos. 5806 und Teppiche und andere Fußbodenbeläge)
4;580230000080;5802.30;- Superficies textiles con mechón insertado;Tufted textile fabrics (excl. carpets and other floor coverings);Surfaces textiles touffetées (à l'excl. des tapis et autres revêtements de sol du n° 5703);Spinnstofferzeugnisse, getuftet (ausg. Teppiche und andere Fußbodenbeläge)
3;580300000080;5803.00; Tejidos de gasa de vuelta (excepto los productos de la partida 5806);Gauze (excl. narrow woven fabrics of heading 5806);Tissus à point de gaze (à l'excl. des articles de rubanerie du n° 5806);Drehergewebe (ausg. Bänder der Pos. 5806)
3;580400000080;58.04;" Tul, tul-bobinot y tejidos de mallas anudadas; encajes en pieza, en tiras o en aplicaciones (excepto los productos de las partidas 6002 a 6006)";"Tulles and other net fabrics (excl. woven, knitted or crocheted fabrics); lace in the piece, in strips or in motifs (excl. fabrics of heading 6002 to 6006)";"Tulles, tulles-bobinots et tissus à mailles nouées; dentelles en pièces, en bandes ou en motifs (à l'excl. des produits du n° 6002 à 6006)";"Tülle ""einschl. Bobinetgardinenstoffe"" und geknüpfte Netzstoffe; Spitzen als Meterware, Streifen oder als Motive (ausg. Erzeugnisse der Pos. 6002 bis 6006)"
4;580410000080;5804.10;- Tul, tul-bobinot y tejidos de mallas anudadas;Tulles and other net fabrics (excl. woven, knitted or crocheted fabrics);Tulles, tulles-bobinots et tissus à mailles nouées;"Tülle ""einschl. Bobinetgardinenstoffe"" und geknüpfte Netzstoffe"
4;580421000010;;- Encajes fabricados a máquina;;;
5;580421000080;5804.21;-- De fibras sintéticas o artificiales;Mechanically made lace of man-made fibres in the piece, in strips or in motifs (excl. fabrics of heading 6002 to 6006);Dentelles à la mécanique, de fibres synthétiques ou artificielles, en pièces, en bandes ou en motifs (à l'excl. des produits du n° 6002 à 6006);Spitzen, als Meterware, Streifen oder als Motive, maschinengefertigt, aus Chemiefasern (ausg. Erzeugnisse der Pos. 6002 bis 6006)
5;580429000080;5804.29;-- De las demás materias textiles;Mechanically made lace in the piece, in strips or in motifs (excl. that of man-made fibres and fabrics of heading 6002 to 6006);Dentelles à la mécanique, en pièces, en bandes ou en motifs (à l'excl. des articles de fibres synthétiques ou artificielles ainsi que des produits du n° 6002 à 6006);Spitzen, als Meterware, Streifen oder als Motive, maschinengefertigt (ausg. aus Chemiefasern und Erzeugnissen der Pos. 6002 bis 6006)
4;580430000080;5804.30;- Encajes hechos a mano;Handmade lace in the piece, in strips or in motifs (excl. fabrics of heading 6002 to 6006);Dentelles à la main, en pièces, en bandes ou en motifs (à l'excl. des produits du n° 6002 à 6006);Spitzen, als Meterware, Streifen oder als Motive, handgefertigt (ausg. Erzeugnisse der Pos. 6002 bis 6006)
3;580500000080;5805.00; Tapicería tejida a mano (gobelinos, Flandes, Aubusson, Beauvais y similares) y tapicería de aguja (por ejemplo: de petit point, de punto de cruz), incluso confeccionadas;Hand-woven tapestries of the type Gobelin, Flanders, Aubusson, Beauvais and the like, and needle-worked tapestries, e.g. petit point, cross-stitch, whether or not made up (excl. Kelem, Schumacks, Karamanie and the like, and tapestries > 100 years old);Tapisseries tissées à la main [genre Gobelins, Flandres, Aubusson, Beauvais et simil.] et tapisseries à l'aiguille [au petit point, au point de croix, p.ex.], même confectionnées (à l'excl. des tapisseries ayant > 100 ans d'âge ainsi que des tapis dits 'kelim', 'kilim', 'schumacks', 'soumak' ou 'karamanie' ainsi que des tapis simil.);"Tapisserien, handgewebt ""Gobelins, Flandrische Gobelins, Aubusson, Beauvais und ähnl."", und Tapisserien als Nadelarbeit ""z.B. Petit Point-, Kreuzstich"", auch konfektioniert (ausg. Kelim, Sumak, Karamanie und ähnl. Teppiche sowie Tapisserien mit einem Alter von > 100 Jahren)"
3;580600000080;58.06;" Cintas (excepto los artículos de la partida 5807); cintas sin trama, de hilados o fibras paralelizados y aglutinados";"Narrow woven fabrics of textile materials, with a width of <= 30 cm (excl. labels, badges and similar articles); narrow fabrics consisting of warp without weft assembled by means of an adhesive ""bolducs""";"Rubanerie en matières textiles, d'une largeur <= 30 cm (autre que les étiquettes, écussons et articles simil.); rubans sans trame, en fils ou fibres parallélisés et encollés [bolducs], n.d.a.";"Bänder aus Spinnstoffen, mit einer Breite von <= 30 cm (ausg. Etiketten, Abzeichen und ähnl. Waren); schusslose Bänder aus parallel gelegten und geklebten Garnen oder Fasern ""Bolducs"""
4;580610000080;5806.10;- Cintas de terciopelo, de felpa, de tejidos de chenilla o de tejidos con bucles del tipo toalla;Narrow woven pile fabrics, incl. terry towelling and similar terry fabrics, and chenille fabrics, with a width of <= 30 cm (excl. labels, badges and similar articles);Rubanerie de velours, de peluches, de tissus de chenille ou de tissus bouclés du genre éponge, d'une largeur <= 30 cm (autre que les étiquettes, écussons et articles simil.);Bänder aus Samt, Plüsch, Chenillegewebe oder aus Schlingengewebe nach Art der Frottiergewebe, mit einer Breite von <= 30 cm (ausg. Etiketten, Abzeichen und ähnl. Waren)
4;580620000080;5806.20;- Las demás cintas, con un contenido de hilos de elastómeros o de hilos de caucho superior o igual al 5 % en peso;Narrow woven fabrics of textile materials, containing >= 5% elastomeric yarn or rubber thread by weight, with a width of <= 30 cm (excl. woven pile fabrics, incl. terry towelling and similar terry fabrics, chenille fabrics, and labels, badges and similar articles);Rubanerie, tissée, en matières textiles, contenant en poids >= 5% de fils d'élastomères ou de fils de caoutchouc, d'une largeur <= 30 cm (autre que rubanerie de velours, de peluches, de tissus de chenille ou de tissus bouclés du genre éponge ainsi que les étiquettes, écussons et articles simil.);Bänder aus Spinnstoffen, gewebt, mit einem Anteil an Elastomergarnen oder Kautschukfäden von >= 5 GHT, mit einer Breite von <= 30 cm (ausg. Bänder aus Samt, Plüsch, Chenillegewebe oder aus Schlingengewebe nach Art der Frottiergewebe sowie Etiketten, Abzeichen und ähnl. Waren)
4;580631000010;;- Las demás cintas;;;
5;580631000080;5806.31;-- De algodón;Narrow woven fabrics of cotton, with a width of <= 30 cm, n.e.s.;Rubanerie, tissée, de coton, d'une largeur <= 30 cm, n.d.a.;Bänder aus Baumwolle, gewebt, mit einer Breite von <= 30 cm, a.n.g.
5;580632000080;5806.32;-- De fibras sintéticas o artificiales;Narrow woven fabrics of man-made fibres, with a width of <= 30 cm, n.e.s.;Rubanerie, tissée, de fibres synthétiques ou artificielles, d'une largeur <= 30 cm, n.d.a.;Bänder aus Chemiefasern, gewebt, mit einer Breite von <= 30 cm, a.n.g.
5;580639000080;5806.39;-- De las demás materias textiles;Narrow woven fabrics of textile materials other than cotton or man-made fibres, with a width of <= 30 cm, n.e.s.;Rubanerie, tissée, en matières textiles, d'une largeur <= 30 cm, n.d.a. (à l'excl. des articles de coton ou de fibres synthétiques ou artificielles);Bänder aus anderen Spinnstoffen als Baumwolle oder Chemiefasern, gewebt, mit einer Breite von <= 30 cm, a.n.g.
4;580640000080;5806.40;- Cintas sin trama, de hilados o fibras paralelizados y aglutinados;"Narrow fabrics consisting of warp without weft assembled by means of an adhesive ""bolducs"", with a width of <= 30 cm";Rubans sans trame, en fils ou fibres parallélisés et encollés [bolducs], d'une largeur <= 30 cm;"Bänder, schusslos, aus parallel gelegten und geklebten Garnen oder Fasern ""Bolducs"", mit einer Breite von <= 30 cm"
3;580700000080;58.07; Etiquetas, escudos y artículos similares, de materia textil, en pieza, en cintas o recortados, sin bordar;Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to shape or size, not embroidered;Étiquettes, écussons et articles simil. en matières textiles, en pièces, en rubans ou découpés, non-brodés;Etiketten, Abzeichen und ähnl. Waren, aus Spinnstoffen, als Meterware, Streifen oder zugeschnitten, unbestickt
4;580710000080;5807.10;- Tejidos;Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to shape or size, woven, not embroidered;Étiquettes, écussons et articles simil. en matières textiles, en pièces, en rubans ou découpés, tissés, non-brodés;Etiketten, Abzeichen und ähnl. Waren, aus Spinnstoffen, als Meterware, Streifen oder zugeschnitten, gewebt, unbestickt
4;580790000080;5807.90;- Los demás;Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to shape or size, not embroidered (excl. woven);Étiquettes, écussons et articles simil. en matières textiles, en pièces, en rubans ou découpés, non-brodés (à l'excl. des articles tissés);Etiketten, Abzeichen und ähnl. Waren, aus Spinnstoffen, als Meterware, Streifen oder zugeschnitten, unbestickt (ausg. gewebt)
3;580800000080;58.08;" Trenzas en pieza; artículos de pasamanería y artículos ornamentales análogos, en pieza, sin bordar (excepto los de punto); bellotas, madroños, pompones, borlas y artículos similares";"Braids of textile materials, in the piece; ornamental trimmings of textile materials, in the piece, not embroidered, other than knitted or crocheted; tassels, pompons and similar articles of textile materials";"Tresses en matières textiles, en pièces; articles de passementerie et articles ornementaux analogues en matières textiles, en pièces, sans broderie (autres que ceux en bonneterie); glands, floches, olives, noix, pompons et articles simil., en matières textiles";"Geflechte aus Spinnstoffen, als Meterware; Posamentierwaren und ähnl. Zierwaren aus Spinnstoffen, als Meterware, ohne Stickerei, andere als solche aus Gewirken oder Gestricken; Quasten, Troddeln, Oliven, Nüsse, Pompons und ähnl. Waren aus Spinnstoffen"
4;580810000080;5808.10;- Trenzas en pieza;Braids in the piece;Tresses en matières textiles, en pièces;Geflechte aus Spinnstoffen, als Meterware
4;580890000080;5808.90;- Los demás;"Ornamental trimmings of textile materials, in the piece, not embroidered, other than knitted or crocheted; tassels, pompons and similar articles of textile materials (excl. braids in the piece)";Articles de passementerie et articles ornementaux analogues en matières textiles, en pièces, sans broderie, et glands, floches, olives, noix, pompons et articles simil. en matières textiles (à l'excl. des tresses en pièces ainsi que des articles de passementerie et articles ornementaux analogues en bonneterie);Posamentierwaren und ähnl. Zierwaren aus Spinnstoffen, als Meterware, ohne Stickerei, andere als solche aus Gewirken oder Gestricken sowie Quasten, Troddeln, Oliven, Nüsse, Pompons und ähnl. Waren aus Spinnstoffen (ausg. Geflechte als Meterware)
3;580900000080;5809.00; Tejidos de hilos de metal y tejidos de hilados metálicos o de hilados textiles metalizados de la partida 5605, de los tipos utilizados en prendas de vestir, tapicería o usos similares, no expresados ni comprendidos en otra parte;Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind used in apparel, as furnishing fabrics or for similar purposes, n.e.s.;Tissus de fils de métal et tissus de filés métalliques ou de fils textiles métallisés du n° 5605, des types utilisés pour l'habillement, l'ameublement ou usages simil., n.d.a.;Gewebe aus Metallfäden und Gewebe aus Metallgarnen oder aus metallisierten Garnen der Pos. 5605, von der zur Bekleidung, Innenausstattung oder zu ähnl. Zwecken verwendeten Art, a.n.g.
3;581000000080;58.10; Bordados en pieza, en tiras o en aplicaciones;Embroidery on a textile fabric ground, in the piece, in strips or in motifs;Broderies sur support de matières textiles, en pièces, en bandes ou en motifs;Stickereien auf Spinnstoffunterlage, als Meterware, Streifen oder als Motive
4;581010000080;5810.10;- Bordados químicos o aéreos y bordados con fondo recortado;Embroidery on a textile fabric ground without visible ground, in the piece, in strips or in motifs;Broderies chimiques ou aériennes, sur support de matières textiles, et broderies à fond découpé, en pièces, en bandes ou en motifs;Ätzstickereien auf Spinnstoffunterlage und Stickereien mit herausgeschnittenem Grund, als Meterware, Streifen oder als Motive
4;581091000010;;- Los demás bordados;;;
5;581091000080;5810.91;-- De algodón;Embroidery of cotton on a textile fabric ground, in the piece, in strips or in motifs (excl. embroidery without visible ground);Broderies de coton, sur support de matières textiles, en pièces, en bandes ou en motifs (à l'excl. des broderies chimiques ou aériennes ainsi que des broderies à fond découpé);Stickereien aus Baumwolle, auf Spinnstoffunterlage, als Meterware, Streifen oder als Motive (ausg. Ätzstickereien und Stickereien mit herausgeschnittenem Grund)
5;581092000080;5810.92;-- De fibras sintéticas o artificiales;Embroidery of man-made fibres on a textile fabric base, in the piece, in strips or in motifs (excl. embroidery without visible ground);Broderies de fibres synthétiques ou artificielles, sur support de matières textiles, en pièces, en bandes ou en motifs (à l'excl. des broderies chimiques ou aériennes ainsi que des broderies à fond découpé);Stickereien aus Chemiefasern, auf Spinnstoffunterlage, als Meterware, Streifen oder als Motive (ausg. Ätzstickereien und Stickereien mit herausgeschnittenem Grund)
5;581099000080;5810.99;-- De las demás materias textiles;Embroidery of materials other than cotton or man-made fibres, on a textile fabric base, in the piece, in strips or in motifs (excl. embroidery without visible ground);Broderies de matières textiles, sur support de matières textiles, en pièces, en bandes ou en motifs (à l'excl. des broderies en coton ou en fibres synthétiques ou artificielles, des broderies chimiques ou aériennes et des broderies à fond découpé);Stickereien aus anderen Stoffen als Baumwolle oder Chemiefasern, auf Spinnstoffunterlage, als Meterware, Streifen oder als Motive (ausg. Ätzstickereien und Stickereien mit herausgeschnittenem Grund)
3;581100000080;5811.00; Productos textiles acolchados en pieza, constituidos por una o varias capas de materia textil combinadas con una materia de relleno y mantenidas mediante puntadas u otra forma de sujeción (excepto los bordados de la partida 5810);Quilted textile products in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise (excl. embroidery of heading 5810 and quilted fabrics for bedding and furnishings);Produits textiles matelassés en pièces, constitués d'une ou plusieurs couches de matières textiles associées à une matière de rembourrage par piqûre, capitonnage ou autre cloisonnement (à l'excl. des broderies du n° 5810 ainsi que des articles de literie ou d'ameublement rembourrés);Spinnstofferzeugnisse, wattiert, als Meterware, aus einer oder mehreren Spinnstofflagen, mit Wattierungsstoff verbunden, durch Steppen oder auf andere Weise abgeteilt (ausg. Stickereien der Pos. 5810 sowie Bettwaren und Waren zur Innenausstattung, gepolstert)
2;590021000090;59;" CAPÍTULO 59 - TELAS IMPREGNADAS, RECUBIERTAS, REVESTIDAS O ESTRATIFICADAS; ARTÍCULOS TÉCNICOS DE MATERIA TEXTIL";"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE";"TISSUS IMPRÉGNÉS, ENDUITS, RECOUVERTS OU STRATIFIÉS; ARTICLES TECHNIQUES EN MATIÈRES TEXTILES";"GETRÄNKTE, BESTRICHENE, ÜBERZOGENE ODER MIT LAGEN VERSEHENE GEWEBE; WAREN DES TECHNISCHEN BEDARFS, AUS SPINNSTOFFEN"
3;590100000080;59.01;" Telas recubiertas de cola o materias amiláceas, de los tipos utilizados para encuadernación, cartonaje, estuchería o usos similares; transparentes textiles para calcar o dibujar; lienzos preparados para pintar; bucarán y telas rígidas similares de los tipos utilizados en sombrerería";"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books, the manufacture of boxes and articles of cardboard or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations (excl. plastic-coated textile fabrics)";"Tissus enduits de colle ou de matières amylacées, des types utilisés pour la reliure, le cartonnage, la gainerie ou usages simil.; toiles à calquer ou transparentes pour le dessin; toiles préparées pour la peinture; bougran et tissus simil. raidis des types utilisés pour la chapellerie (à l'excl. des tissus enduits de matière plastique)";"Gewebe, mit Leim oder stärkehaltigen Stoffen bestrichen, von der zum Einbinden von Büchern, zum Herstellen von Futteralen, Kartonagen oder zu ähnl. Zwecken verwendeten Art; Pausleinwand, präparierte Malleinwand; Bougram und ähnl. steife Gewebe, von der für die Hutmacherei verwendeten Art (ausg. mit Kunststoffen bestrichene Gewebe)"
4;590110000080;5901.10;- Telas recubiertas de cola o materias amiláceas, de los tipos utilizados para encuadernación, cartonaje, estuchería o usos similares;Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books, the manufacture of boxes and articles of cardboard or the like;Tissus enduits de colle ou de matières amylacées, des types utilisés pour la reliure, le cartonnage, la gainerie ou usages simil.;Gewebe, mit Leim oder stärkehaltigen Stoffen bestrichen, von der zum Einbinden von Büchern, zum Herstellen von Futteralen, Kartonagen oder zu ähnl. Zwecken verwendeten Art
4;590190000080;5901.90;- Los demás;"Tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations (excl. plastic-coated textile fabrics)";"Toiles à calquer ou transparentes pour le dessin; toiles préparées pour la peinture; bougran et tissus simil. raidis des types utilisés pour la chapellerie (à l'excl. des tissus enduits de matière plastique)";"Pausleinwand; präparierte Malleinwand; Bougram und ähnl. steife Gewebe, von der für die Hutmacherei verwendeten Art (ausg. mit Kunststoffen bestrichene Gewebe)"
3;590200000080;59.02; Napas tramadas para neumáticos fabricadas con hilados de alta tenacidad de nailon o demás poliamidas, de poliésteres o de rayón viscosa;Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, polyesters or viscose rayon, whether or not dipped or impregnated with rubber or plastic;Nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de nylon ou d'autres polyamides, de polyesters ou de rayonne viscose, adhérisées ou non, imprégnées ou non de caoutchouc ou de matière plastique;"Reifencordgewebe aus hochfesten Garnen aus Nylon oder anderen Polyamiden, Polyestern oder Viskose, auch getaucht ""gedippt"" oder getränkt in Kautschuk oder Kunststoff"
4;590210000080;5902.10;- De nailon o demás poliamidas;Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, whether or not dipped or impregnated with rubber or plastic;Nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de nylon ou d'autres polyamides, adhérisées ou non, imprégnées ou non de caoutchouc ou de matière plastique;"Reifencordgewebe aus hochfesten Garnen aus Nylon oder anderen Polyamiden, auch getaucht ""gedippt"" oder getränkt in Kautschuk oder Kunststoff"
4;590220000080;5902.20;- De poliésteres;Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with rubber or plastic;Nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de polyesters, adhérisées ou non, imprégnées ou non de caoutchouc ou de matière plastique;"Reifencordgewebe aus hochfesten Garnen aus Polyestern, auch getaucht ""gedippt"" oder getränkt in Kautschuk oder Kunststoff"
4;590290000080;5902.90;- Las demás;Tyre cord fabric of high-tenacity viscose rayon yarn, whether or not dipped in rubber or plastic;Nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de rayonne viscose, adhérisées ou non, imprégnées ou non de caoutchouc ou de matière plastique;"Reifencordgewebe aus hochfesten Garnen aus Viskose, auch getaucht ""gedippt"" oder getränkt in Kautschuk oder Kunststoff"
3;590300000080;59.03; Telas impregnadas, recubiertas, revestidas o estratificadas con plástico (excepto las de la partida 5902);"Textile fabrics impregnated, coated, covered or laminated with plastics (excl. tyre cord fabric of high-tenacity yarn of nylon or other polyamides, polyesters or viscose rayon; wallcoverings impregnated or covered with textile materials; floor coverings consisting of a textile backing and a top layer or covering of plastics)";Tissus imprégnés, enduits ou recouverts de matière plastique ou stratifiés avec de la matière plastique (sauf nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de nylon ou d'autres polyamides, de polyesters ou de rayonne viscose, tissus imprégnés ou enduits ayant le caractère de revêtements muraux et tissus enduits ou recouverts de matière plastique utilisés comme revêtements de sol);"Gewebe, mit Kunststoff getränkt, bestrichen, überzogen oder mit Lagen aus Kunststoff versehen (ausg. Reifencordgewebe aus hochfesten Garnen aus Nylon oder anderen Polyamiden, Polyestern oder Viskose; Wandverkleidungen aus Spinnstoffen, getränkt oder überzogen; Fußbodenbeläge aus einer Spinnstoffunterlage mit einer Deckschicht oder einem Überzug aus Kunststoff)"
4;590310000080;5903.10;- Con poli(cloruro de vinilo);"Textile fabrics impregnated, coated, covered or laminated with poly""vinyl chloride"" (excl. wallcoverings of textile materials impregnated or covered with poly""vinyl chloride""; floor coverings consisting of a textile backing and a top layer or covering of poly""vinyl chloride"")";Tissus imprégnés, enduits ou recouverts de poly[chlorure de vinyle] ou stratifiés avec du poly[chlorure de vinyle] (à l'excl. des tissus imprégnés ou enduits de poly[chlorure de vinyle] ayant le caractère de revêtements muraux ainsi que des tissus enduits ou recouverts de poly[chlorure de vinyle] conçus pour être utilisés comme revêtements de sol);"Gewebe, mit Poly""vinylchlorid"" getränkt, bestrichen, überzogen oder mit Lagen daraus versehen (ausg. Wandverkleidungen aus Spinnstoffen, mit Poly""vinylchlorid"" getränkt oder überzogen; Fußbodenbeläge aus einer Spinnstoffunterlage mit einer Deckschicht oder einem Überzug aus Poly""vinylchlorid"")"
4;590320000080;5903.20;- Con poliuretano;"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excl. wallcoverings of textile materials impregnated or covered with polyurethane; floor coverings consisting of a textile backing and a top layer or covering of polyurethane)";Tissus imprégnés, enduits ou recouverts de polyuréthanne ou stratifiés avec du polyuréthanne (à l'excl. des tissus imprégnés ou enduits de polyuréthanne ayant le caractère de revêtements muraux ainsi que des tissus enduits ou recouverts de polyuréthanne conçus pour être utilisés comme revêtements de sol);"Gewebe, mit Polyurethan getränkt, bestrichen, überzogen oder mit Lagen daraus versehen (ausg. Wandverkleidungen aus Spinnstoffen, mit Polyurethan getränkt oder überzogen; Fußbodenbeläge aus einer Spinnstoffunterlage mit einer Deckschicht oder einem Überzug aus Polyurethan)"
4;590390000080;5903.90;- Las demás;"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""vinyl chloride"" or polyurethane (excl. tyre cord fabric of high-tenacity yarn of nylon or other polyamides, polyesters or viscose rayon; wallcoverings of textile materials impregnated or covered with plastic; floor coverings consisting of a textile backing and a top layer or covering of plastics)";Tissus imprégnés, enduits ou recouverts de matières plastiques autres que poly[chlorure de vinyle] ou polyuréthanne ou stratifiés avec des matières plastiques autres que poly[chlorure de vinyle] ou polyuréthanne (sauf nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de polyamides, polyesters ou rayonne viscose et tissus imprégnés ou enduits ayant le caractère de revêtements muraux ou enduits de matières plastiques et utilisés comme revêtements de sol);"Gewebe, mit anderem Kunststoff als Poly""vinylchlorid"" oder Polyurethan getränkt, bestrichen, überzogen oder mit Lagen daraus versehen (ausg. Reifencordgewebe aus hochfesten Garnen aus Nylon oder anderen Polyamiden, Polyestern oder Viskose; Wandverkleidungen aus Spinnstoffen, mit Kunststoff getränkt oder überzogen; Fußbodenbeläge aus einer Spinnstoffunterlage mit einer Deckschicht oder einem Überzug aus Kunststoff)"
3;590400000080;59.04;" Linóleo, incluso cortado; revestimientos para el suelo formados por un recubrimiento o revestimiento aplicado sobre un soporte textil, incluso cortados";"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape";"Linoléums, même découpés; revêtements de sol consistant en un enduit ou un recouvrement appliqué sur un support textile, même découpés";"Linoleum, auch zugeschnitten; Fußbodenbeläge, aus einer Spinnstoffunterlage mit einer Deckschicht oder einem Überzug bestehend, auch zugeschnitten"
4;590410000080;5904.10;- Linóleo;Linoleum, whether or not cut to shape;Linoléums, même découpés;Linoleum, auch zugeschnitten
4;590490000080;5904.90;- Los demás;Floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape (excl. linoleum);Revêtements de sol consistant en un enduit ou un recouvrement appliqué sur un support textile, même découpés (à l'excl. des linoléums);Fußbodenbeläge, aus einer Spinnstoffunterlage mit einer Deckschicht oder einem Überzug bestehend, auch zugeschnitten (ausg. Linoleum)
3;590500000080;5905.00; Revestimientos de materia textil para paredes;Textile wallcoverings;Revêtements muraux en matières textiles;Wandverkleidungen aus Spinnstoffen
3;590600000080;59.06; Telas cauchutadas (excepto las de la partida 5902);Rubberised textile fabrics (excl. tyre cord fabric of high-tenacity yarn of nylon or other polyamides, polyesters or viscose rayon);Tissus caoutchoutés (à l'excl. des nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de nylon ou d'autres polyamides);Gewebe, kautschutiert (ausg. Reifencordgewebe aus hochfesten Garnen aus Nylon oder anderen Polyamiden, Polyestern oder Viskose)
